timestamp,symbol,underlying,strike,expiry,option_type,open,high,low,close,volume,iv,delta,gamma,theta,vega
2024-01-02,AAPL240119C00162,AAPL,162.0,2024-01-19,C,18.1594,18.5226,17.7962,18.1594,444,0.265,0.9698,0.00665,-0.042,0.0265
2024-01-02,AAPL240119P00162,AAPL,162.0,2024-01-19,P,0.1225,0.125,0.12,0.1225,431,0.265,-0.0302,0.00665,-0.0214,0.0265
2024-01-02,AAPL240119C00171,AAPL,171.0,2024-01-19,C,9.9805,10.1801,9.7809,9.9805,242,0.2575,0.8311,0.025237,-0.0931,0.0977
2024-01-02,AAPL240119P00171,AAPL,171.0,2024-01-19,P,0.9228,0.9413,0.9043,0.9228,56,0.2575,-0.1689,0.025237,-0.0783,0.0977
2024-01-02,AAPL240119C00180,AAPL,180.0,2024-01-19,C,3.9052,3.9833,3.8271,3.9052,349,0.25,0.514,0.041131,-0.1258,0.1546
2024-01-02,AAPL240119P00180,AAPL,180.0,2024-01-19,P,3.8265,3.903,3.75,3.8265,118,0.25,-0.486,0.041131,-0.1262,0.1546
2024-01-02,AAPL240119C00189,AAPL,189.0,2024-01-19,C,0.9256,0.9441,0.9071,0.9256,338,0.2425,0.1847,0.028357,-0.0782,0.1034
2024-01-02,AAPL240119P00189,AAPL,189.0,2024-01-19,P,9.8259,10.0224,9.6294,9.8259,337,0.2425,-0.8153,0.028357,-0.0951,0.1034
2024-01-02,AAPL240119C00198,AAPL,198.0,2024-01-19,C,0.1139,0.1162,0.1116,0.1139,315,0.235,0.0325,0.007978,-0.0203,0.0282
2024-01-02,AAPL240119P00198,AAPL,198.0,2024-01-19,P,17.9934,18.3533,17.6335,17.9934,20,0.235,-0.9675,0.007978,-0.0458,0.0282
2024-01-02,AAPL240216C00162,AAPL,162.0,2024-02-16,C,19.583,19.9747,19.1913,19.583,35,0.265,0.8897,0.011272,-0.0542,0.1189
2024-01-02,AAPL240216P00162,AAPL,162.0,2024-02-16,P,0.9275,0.9461,0.9089,0.9275,412,0.265,-0.1103,0.011272,-0.0378,0.1189
2024-01-02,AAPL240216C00171,AAPL,171.0,2024-02-16,C,12.3116,12.5578,12.0654,12.3116,180,0.2575,0.7453,0.019756,-0.0746,0.2024
2024-01-02,AAPL240216P00171,AAPL,171.0,2024-02-16,P,2.6007,2.6527,2.5487,2.6007,134,0.2575,-0.2547,0.019756,-0.0645,0.2024
2024-01-02,AAPL240216C00180,AAPL,180.0,2024-02-16,C,6.6667,6.8,6.5334,6.6667,74,0.25,0.5369,0.025188,-0.0819,0.2506
2024-01-02,AAPL240216P00180,AAPL,180.0,2024-02-16,P,5.9005,6.0185,5.7825,5.9005,412,0.25,-0.4631,0.025188,-0.0818,0.2506
2024-01-02,AAPL240216C00189,AAPL,189.0,2024-02-16,C,2.9838,3.0435,2.9241,2.9838,299,0.2425,0.3155,0.023238,-0.0678,0.2243
2024-01-02,AAPL240216P00189,AAPL,189.0,2024-02-16,P,11.1623,11.3855,10.9391,11.1623,115,0.2425,-0.6845,0.023238,-0.0788,0.2243
2024-01-02,AAPL240216C00198,AAPL,198.0,2024-02-16,C,1.0571,1.0782,1.036,1.0571,45,0.235,0.1441,0.015311,-0.0408,0.1432
2024-01-02,AAPL240216P00198,AAPL,198.0,2024-02-16,P,18.1803,18.5439,17.8167,18.1803,434,0.235,-0.8559,0.015311,-0.0609,0.1432
2024-01-02,AAPL240315C00162,AAPL,162.0,2024-03-15,C,21.0863,21.508,20.6646,21.0863,401,0.265,0.8454,0.011175,-0.0526,0.1912
2024-01-02,AAPL240315P00162,AAPL,162.0,2024-03-15,P,1.8144,1.8507,1.7781,1.8144,293,0.265,-0.1546,0.011175,-0.0388,0.1912
2024-01-02,AAPL240315C00171,AAPL,171.0,2024-03-15,C,14.2334,14.5181,13.9487,14.2334,116,0.2575,0.7168,0.016359,-0.0637,0.2719
2024-01-02,AAPL240315P00171,AAPL,171.0,2024-03-15,P,3.8719,3.9493,3.7945,3.8719,310,0.2575,-0.2832,0.016359,-0.0555,0.2719
2024-01-02,AAPL240315C00180,AAPL,180.0,2024-03-15,C,8.7233,8.8978,8.5488,8.7233,120,0.25,0.5511,0.019698,-0.0668,0.3179
2024-01-02,AAPL240315P00180,AAPL,180.0,2024-03-15,P,7.2723,7.4177,7.1269,7.2723,426,0.25,-0.4489,0.019698,-0.0665,0.3179
2024-01-02,AAPL240315C00189,AAPL,189.0,2024-03-15,C,4.7516,4.8466,4.6566,4.7516,455,0.2425,0.3741,0.019448,-0.0591,0.3045
2024-01-02,AAPL240315P00189,AAPL,189.0,2024-03-15,P,12.211,12.4552,11.9668,12.211,129,0.2425,-0.6259,0.019448,-0.0676,0.3045
2024-01-02,AAPL240315C00198,AAPL,198.0,2024-03-15,C,2.2472,2.2921,2.2023,2.2472,178,0.235,0.2185,0.015621,-0.0432,0.237
2024-01-02,AAPL240315P00198,AAPL,198.0,2024-03-15,P,18.6171,18.9894,18.2448,18.6171,406,0.235,-0.7815,0.015621,-0.0599,0.237
2024-01-02,AAPL240419C00162,AAPL,162.0,2024-04-19,C,22.8649,23.3222,22.4076,22.8649,85,0.265,0.8139,0.010344,-0.049,0.2618
2024-01-02,AAPL240419P00162,AAPL,162.0,2024-04-19,P,2.8258,2.8823,2.7693,2.8258,413,0.265,-0.1861,0.010344,-0.0371,0.2618
2024-01-02,AAPL240419C00171,AAPL,171.0,2024-04-19,C,16.3061,16.6322,15.98,16.3061,471,0.2575,0.7014,0.013788,-0.0555,0.3391
2024-01-02,AAPL240419P00171,AAPL,171.0,2024-04-19,P,5.1349,5.2376,5.0322,5.1349,315,0.2575,-0.2986,0.013788,-0.0485,0.3391
2024-01-02,AAPL240419C00180,AAPL,180.0,2024-04-19,C,10.8721,11.0895,10.6547,10.8721,11,0.25,0.5647,0.016114,-0.0569,0.3847
2024-01-02,AAPL240419P00180,AAPL,180.0,2024-04-19,P,8.5687,8.7401,8.3973,8.5687,151,0.25,-0.4353,0.016114,-0.0564,0.3847
2024-01-02,AAPL240419C00189,AAPL,189.0,2024-04-19,C,6.6913,6.8251,6.5575,6.6913,449,0.2425,0.4184,0.01648,-0.0522,0.3817
2024-01-02,AAPL240419P00189,AAPL,189.0,2024-04-19,P,13.2557,13.5208,12.9906,13.2557,84,0.2425,-0.5816,0.01648,-0.059,0.3817
2024-01-02,AAPL240419C00198,AAPL,198.0,2024-04-19,C,3.7472,3.8221,3.6723,3.7472,76,0.235,0.2807,0.014675,-0.0422,0.3294
2024-01-02,AAPL240419P00198,AAPL,198.0,2024-04-19,P,19.1795,19.5631,18.7959,19.1795,286,0.235,-0.7193,0.014675,-0.0562,0.3294
2024-01-03,AAPL240119C00161,AAPL,161.0,2024-01-19,C,18.8053,19.1814,18.4292,18.8053,138,0.265,0.978,0.005268,-0.0378,0.0197
2024-01-03,AAPL240119P00161,AAPL,161.0,2024-01-19,P,0.0828,0.0845,0.0811,0.0828,418,0.265,-0.022,0.005268,-0.0169,0.0197
2024-01-03,AAPL240119C00170,AAPL,170.0,2024-01-19,C,10.4735,10.683,10.264,10.4735,99,0.2575,0.8561,0.023453,-0.0881,0.0852
2024-01-03,AAPL240119P00170,AAPL,170.0,2024-01-19,P,0.7313,0.7459,0.7167,0.7313,66,0.2575,-0.1439,0.023453,-0.0722,0.0852
2024-01-03,AAPL240119C00179,AAPL,179.0,2024-01-19,C,4.1304,4.213,4.0478,4.1304,348,0.25,0.5428,0.042247,-0.1291,0.149
